Year;Country of production;Coffee bean;Department;Municipality of export;Exporter;Exporter group;Importer;Importer group;Country of destination;Economic bloc;Department trase id;Country of production (Trase ID);Country of destination (Trase ID);Trade volume;Trade value
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;CIA CAFETERA LA MESETA S A;CIA CAFETERA LA MESETA S A;PERSNAM CORP;PERSNAM CORP;TAIWAN;TAIWAN;CO-41;CO;TW;18,205;96323,38
2012;COLOMBIA;GREEN;CAUCA;BUENAVENTURA;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;UNKNOWN;UNKNOWN;SOUTH KOREA;SOUTH KOREA;CO-19;CO;KR;207,4951905;886148,8575
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;SKN CARIBECAFE LTD;SKN CARIBECAFE LTD;BERNHARD ROTHFOS INTERCAFE;BERNHARD ROTHFOS INTERCAFE;LATVIA;EUROPEAN UNION;CO-41;CO;LV;38,499;156262,02
2012;COLOMBIA;GREEN;QUINDIO;BUENAVENTURA;S LAUMAYER Y CIA EXPORTADORES DE CAFE S A;S LAUMAYER Y CIA EXPORTADORES DE CAFE S A;COFFEE AMERICA USA;COFFEE AMERICA USA;UNITED STATES;UNITED STATES;CO-63;CO;US;230,86;872614,93
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;TRILLADORA UNION S A;TRILLADORA UNION S A;UNKNOWN;UNKNOWN;SPAIN;EUROPEAN UNION;CO-05;CO;ES;19,276;72752,92
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;S LAUMAYER Y CIA EXPORTADORES DE CAFE S A;S LAUMAYER Y CIA EXPORTADORES DE CAFE S A;COFFEIN COMPAGNIE;COFFEIN COMPAGNIE;GERMANY;EUROPEAN UNION;CO-05;CO;DE;41,98;189953,46
2012;COLOMBIA;GREEN;NARINO;CARTAGENA DE INDIAS;SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D;SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS D;UNKNOWN;UNKNOWN;BELGIUM;EUROPEAN UNION;CO-52;CO;BE;2963,273872;15872877,97
2012;COLOMBIA;ROASTED;CALDAS;CARTAGENA DE INDIAS;DESCAFEINADORA COLOMBIANA S A S;DESCAFEINADORA COLOMBIANA S A S;A HOLLIDAY & COMP INC;A HOLLIDAY & COMP INC;CANADA;CANADA;CO-17;CO;CA;8,4375;73102,5
2012;COLOMBIA;PROCESSED;TOLIMA;SANTAFE DE BOGOTA;COLOMBIAN MOUNTAIN COFFEE C I S A S;COLOMBIAN MOUNTAIN COFFEE C I S A S;TACA INTL AIRLINES S A;TACA INTL AIRLINES S A;PERU;PERU;CO-73;CO;PE;8,31625;92664
2012;COLOMBIA;GREEN;RISARALDA;CARTAGENA DE INDIAS;TERESITA EXPORTADORES DE CAFE S A;TERESITA EXPORTADORES DE CAFE S A;ORIGIN TRADERS;ORIGIN TRADERS;AUSTRALIA;AUSTRALIA;CO-66;CO;AU;19,229;82724,24
2012;COLOMBIA;GREEN;CESAR;CARTAGENA DE INDIAS;NOBLE COL S A S  COLOMBIAN COMMODITY GROUP C I S A S;NOBLE;UNKNOWN;UNKNOWN;UNITED KINGDOM;EUROPEAN UNION;CO-20;CO;GB;19,224;115703,39
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;SKN CARIBECAFE LTD;SKN CARIBECAFE LTD;SHINHAN BANK SEOUL;SHINHAN BANK SEOUL;SOUTH KOREA;SOUTH KOREA;CO-41;CO;KR;17,5;89892,5
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;OUTSPAN COLOMBIA S A S C I;OUTSPAN COLOMBIA S A S C I;UNKNOWN;UNKNOWN;TURKEY;TURKEY;CO-05;CO;TR;10,57732856;51068,12373
2012;COLOMBIA;GREEN;RISARALDA;CARTAGENA DE INDIAS;TERESITA EXPORTADORES DE CAFE S A;TERESITA EXPORTADORES DE CAFE S A;GUZMAN GLOBAL SL;GUZMAN GLOBAL SL;SPAIN;EUROPEAN UNION;CO-66;CO;ES;198,855;846259,76
2012;COLOMBIA;GREEN;CALDAS;CARTAGENA DE INDIAS;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;UNKNOWN;UNKNOWN;NEW ZEALAND;NEW ZEALAND;CO-17;CO;NZ;35,021;215856,27
2012;COLOMBIA;ROASTED;ANTIOQUIA;CARTAGENA DE INDIAS;INDUSTRIA COLOMBIANA DE CAFE S A S;INDUSTRIA COLOMBIANA DE CAFE S A S;SATEX AGENCIES N V ARUBA;SATEX AGENCIES N V ARUBA;NETHERLANDS ANTILLES;NETHERLANDS ANTILLES;CO-05;CO;NT;42,890475;573546,17
2012;COLOMBIA;GREEN;CAUCA;BUENAVENTURA;PROMOT DE INVERSIONES VARGAS RUBIO S A;PROMOT DE INVERSIONES VARGAS RUBIO S A;BERNHARD ROTHFOS CORP;BERNHARD ROTHFOS CORP;TAIWAN;TAIWAN;CO-19;CO;TW;19,219;73935,49
2012;COLOMBIA;GREEN;VALLE DEL CAUCA;BUENAVENTURA;CAFE GRANJA LA ESPERANZA S A C I;CAFE GRANJA LA ESPERANZA S A C I;EL CAFETAL CO LTD;EL CAFETAL CO LTD;SOUTH KOREA;SOUTH KOREA;CO-76;CO;KR;6,72;59708,01
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;OUTSPAN COLOMBIA S A S C I;OUTSPAN COLOMBIA S A S C I;UNKNOWN;UNKNOWN;FRANCE;EUROPEAN UNION;CO-05;CO;FR;556,1096679;2720585,077
2012;COLOMBIA;ROASTED;VALLE DEL CAUCA;BUENAVENTURA;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;UNKNOWN;UNKNOWN;GERMANY;EUROPEAN UNION;CO-76;CO;DE;1216,904266;14601812,5
2012;COLOMBIA;GREEN;CAUCA;BUENAVENTURA;EXPO COSURCA S A C I;EXPO COSURCA S A C I;SARRIA IMPORT;SARRIA IMPORT;SWEDEN;EUROPEAN UNION;CO-19;CO;SE;19,959;81272,1
2012;COLOMBIA;PROCESSED;TOLIMA;SANTAFE DE BOGOTA;RESTCAFE S A S;RESTCAFE S A S;JIRINA KREJCAROVA;JIRINA KREJCAROVA;CZECH REPUBLIC;EUROPEAN UNION;CO-73;CO;CZ;0,28125;2259
2012;COLOMBIA;GREEN;TOLIMA;BUENAVENTURA;LOUIS DREYFUS COMMODITIES COLOMBIA S A S;LOUIS DREYFUS;UNKNOWN;UNKNOWN;SINGAPORE;SINGAPORE;CO-73;CO;SG;19,257;92653,68
2012;COLOMBIA;ROASTED;CAUCA;SANTIAGO DE CALI;PROMOTORA CHILENA DE CAFE COLOMBIA SA;PROMOTORA CHILENA DE CAFE COLOMBIA SA;IND BOND BERNARDO ALVAREZ Y CIA LTD;IND BOND BERNARDO ALVAREZ Y CIA LTD;ZFP CENTRO LOGISTICO DEL PACIFICO CELPA;ZFP CENTRO LOGISTICO DEL PACIFICO CELPA;CO-19;CO;;0,011775;481,44
2012;COLOMBIA;GREEN;RISARALDA;CARTAGENA DE INDIAS;ALTAMIRA SUPREMO S A S;ALTAMIRA SUPREMO S A S;BLASER TRADING AG;BLASER TRADING AG;BELGIUM;EUROPEAN UNION;CO-66;CO;BE;19,272;71163,24
2012;COLOMBIA;ROASTED;ANTIOQUIA;CARTAGENA DE INDIAS;INDUSTRIA COLOMBIANA DE CAFE S A S;INDUSTRIA COLOMBIANA DE CAFE S A S;COREAS HAZELLS;COREAS HAZELLS;ST. VINCENT AND THE GRENADINES;ST. VINCENT AND THE GRENADINES;CO-05;CO;VC;1,7378875;18303,5
2012;COLOMBIA;GREEN;RISARALDA;BUENAVENTURA;ALEXCAFE S A S;ALEXCAFE S A S;HAMBURG COFFEE CO HACOFCO MBH;HAMBURG COFFEE CO HACOFCO MBH;GERMANY;EUROPEAN UNION;CO-66;CO;DE;38,486;165109,13
2012;COLOMBIA;PROCESSED;SANTANDER;CARTAGENA DE INDIAS;RESTCAFE S A S;RESTCAFE S A S;GRAINVALE TRADING ESTABLISHMENT;GRAINVALE TRADING ESTABLISHMENT;UNITED ARAB EMIRATES;UNITED ARAB EMIRATES;CO-68;CO;AE;1,125;11034
2012;COLOMBIA;GREEN;MAGDALENA;CARTAGENA DE INDIAS;CAFE COLSUAVES S A S;CAFE COLSUAVES S A S;AND BLOANK ENDORSED;AND BLOANK ENDORSED;ITALY;EUROPEAN UNION;CO-47;CO;IT;57,744;314448,75
2012;COLOMBIA;GREEN;RISARALDA;CARTAGENA DE INDIAS;TERESITA EXPORTADORES DE CAFE S A;TERESITA EXPORTADORES DE CAFE S A;COEX COFFEE INTERNATIONAL;COEX COFFEE INTERNATIONAL;UNITED STATES;UNITED STATES;CO-66;CO;US;134,659;551235,8
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;S ISHIMITSU AND CO LTD;S ISHIMITSU AND CO LTD;JAPAN;JAPAN;CO-41;CO;JP;11,311;53114,83
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;OUTSPAN COLOMBIA S A S C I;OUTSPAN COLOMBIA S A S C I;UNKNOWN;UNKNOWN;SPAIN;EUROPEAN UNION;CO-05;CO;ES;419,7486459;2036641,413
2012;COLOMBIA;GREEN;MAGDALENA;CARTAGENA DE INDIAS;CAFE COLSUAVES S A S;CAFE COLSUAVES S A S;UNKNOWN;UNKNOWN;AUSTRALIA;AUSTRALIA;CO-47;CO;AU;19,24;103017,35
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;SKN CARIBECAFE LTD;SKN CARIBECAFE LTD;HARU INTL CORP;HARU INTL CORP;TAIWAN;TAIWAN;CO-41;CO;TW;19,244;103942,34
2012;COLOMBIA;GREEN;NARINO;BUENAVENTURA;CARCAFE LTD;CARCAFE LTD;NESTLE BRASIL LTDA;NESTLE;SOUTH KOREA;SOUTH KOREA;CO-52;CO;KR;2,497717482;12676,27392
2012;COLOMBIA;GREEN;RISARALDA;CARTAGENA DE INDIAS;COMPANIA COLOMBIANA AGROINDUSTRIAL S A;COMPANIA COLOMBIANA AGROINDUSTRIAL S A;NESTLE BRASIL LTDA;NESTLE;SWEDEN;EUROPEAN UNION;CO-66;CO;SE;147,207;659450,14
2012;COLOMBIA;PROCESSED;TOLIMA;SANTAFE DE BOGOTA;GOLDEN BEAN COLOMBIA S A S;GOLDEN BEAN COLOMBIA S A S;GOLDEN BEAN COLOMBIA S A S;GOLDEN BEAN COLOMBIA S A S;NORWAY;NORWAY;CO-73;CO;NO;0,28125;3487,5
2012;COLOMBIA;GREEN;RISARALDA;BUENAVENTURA;ALTAMIRA SUPREMO S A S;ALTAMIRA SUPREMO S A S;BLASER TRADING AG;BLASER TRADING AG;GERMANY;EUROPEAN UNION;CO-66;CO;DE;19,954;87980,04
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;COOP AGRICOLA CAFETERA COAGROCAFE;COOP AGRICOLA CAFETERA COAGROCAFE;SOLO CAFE;SOLO CAFE;ISRAEL;ISRAEL;CO-05;CO;IL;19,928;113715
2012;COLOMBIA;GREEN;CAUCA;BUENAVENTURA;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;UNKNOWN;UNKNOWN;SWEDEN;EUROPEAN UNION;CO-19;CO;SE;104,635806;482436,1289
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;SKN CARIBECAFE LTD;SKN CARIBECAFE LTD;GUSTAV PAULING LTD;GUSTAV PAULING LTD;FINLAND;EUROPEAN UNION;CO-05;CO;FI;593,0184345;2794486,549
2012;COLOMBIA;GREEN;CESAR;CARTAGENA DE INDIAS;PROMOT DE INVERSIONES VARGAS RUBIO S A;PROMOT DE INVERSIONES VARGAS RUBIO S A;PARAGON COFFEE TRADING;PARAGON COFFEE TRADING;UNITED STATES;UNITED STATES;CO-20;CO;US;52,426;204883,45
2012;COLOMBIA;GREEN;RISARALDA;BUENAVENTURA;ALTAMIRA SUPREMO S A S;ALTAMIRA SUPREMO S A S;WALKER COFFEE TRADING;WALKER COFFEE TRADING;UNITED STATES;UNITED STATES;CO-66;CO;US;19,269;72214,71
2012;COLOMBIA;GREEN;HUILA;CARTAGENA DE INDIAS;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;UNKNOWN;UNKNOWN;SOUTH AFRICA;SOUTH AFRICA;CO-41;CO;ZA;39,902;159658,63
2012;COLOMBIA;GREEN;QUINDIO;BUENAVENTURA;S LAUMAYER Y CIA EXPORTADORES DE CAFE S A;S LAUMAYER Y CIA EXPORTADORES DE CAFE S A;THE GREEN ROOM;THE GREEN ROOM;UNITED STATES;UNITED STATES;CO-63;CO;US;57,722;283138,73
2012;COLOMBIA;GREEN;TOLIMA;CARTAGENA DE INDIAS;CARCAFE LTD;CARCAFE LTD;COMPAGNIE NOUVELLE DE MANUTENTION ET DE TRANSPORT;COMPAGNIE NOUVELLE DE MANUTENTION ET DE TRANSPORT;FRANCE;EUROPEAN UNION;CO-73;CO;FR;76,955;318956,61
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;SKN CARIBECAFE LTD;SKN CARIBECAFE LTD;JOH JOHANSSON KAFFE AS;JOH JOHANSSON KAFFE AS;NORWAY;NORWAY;CO-05;CO;NO;197,5682839;1002916,928
2012;COLOMBIA;GREEN;NARINO;BUENAVENTURA;EMPRESAS DE NARINO S A S;EMPRESAS DE NARINO S A S;STARBUCKS COFFEE;STARBUCKS COFFEE;UNITED STATES;UNITED STATES;CO-52;CO;US;1474,985;6802713,02
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;SKN CARIBECAFE LTD;SKN CARIBECAFE LTD;S ISHIMITSU AND CO LTD;S ISHIMITSU AND CO LTD;JAPAN;JAPAN;CO-05;CO;JP;93,51663683;457483,1886
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;CARCAFE LTD;CARCAFE LTD;MITSUBISHI CORP TOKIO;MITSUBISHI CORP TOKIO;JAPAN;JAPAN;CO-41;CO;JP;146,811842;680797,0551
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;CI VIRMAX COLOMBIA S A S;CI VIRMAX COLOMBIA S A S;SEVEN SEEDS COFFEE ROASTER S;SEVEN SEEDS COFFEE ROASTER S;AUSTRALIA;AUSTRALIA;CO-41;CO;AU;15,781;114466,41
2012;COLOMBIA;GREEN;VALLE DEL CAUCA;CARTAGENA DE INDIAS;CI CALIMA TRADE CENTER S A S;CI CALIMA TRADE CENTER S A S;INTERCOM SPA;INTERCOM SPA;ITALY;EUROPEAN UNION;CO-76;CO;IT;19,212;85683,71
2012;COLOMBIA;GREEN;CALDAS;SANTA MARTA;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;UNKNOWN;UNKNOWN;GERMANY;EUROPEAN UNION;CO-17;CO;DE;10,47648189;70444,17709
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;EXPORTADORA DE CAFE CONDOR S A S;EXPORTADORA DE CAFE CONDOR S A S;PEETS COFFEE AND TEA CO;PEETS COFFEE AND TEA CO;UNITED STATES;UNITED STATES;CO-41;CO;US;192,379;1070079,12
2012;COLOMBIA;GREEN;HUILA;CARTAGENA DE INDIAS;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;MITSUI FOODS INC;MITSUI FOODS INC;CANADA;CANADA;CO-41;CO;CA;38,526;187704,17
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;AMERICAN COFFEE;AMERICAN COFFEE;UNITED STATES;UNITED STATES;CO-41;CO;US;77,038;325243,42
2012;COLOMBIA;PROCESSED;TOLIMA;SANTAFE DE BOGOTA;INVS JARAMILLO ANGEL;INVS JARAMILLO ANGEL;COLOMBIAN SUPREMO CAFE;COLOMBIAN SUPREMO CAFE;IRAQ;IRAQ;CO-73;CO;IQ;0,67;6520
2012;COLOMBIA;GREEN;MAGDALENA;CARTAGENA DE INDIAS;CAFE COLSUAVES S A S;CAFE COLSUAVES S A S;DESCAFEINADORES MEXICANOS S A DE CV;DESCAFEINADORES MEXICANOS S A DE CV;MEXICO;MEXICO;CO-47;CO;MX;38,46;165431,75
2012;COLOMBIA;GREEN;HUILA;CARTAGENA DE INDIAS;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;BENECKE COFFEE GMBH;BENECKE COFFEE GMBH;ROMANIA;EUROPEAN UNION;CO-41;CO;RO;280,072;1213381,83
2012;COLOMBIA;GREEN;SANTANDER;CARTAGENA DE INDIAS;INCONEXUS S A S;INCONEXUS S A S;SUSTAINABLE HARVEST AND P W BELLINGALL INC;SUSTAINABLE HARVEST AND P W BELLINGALL INC;UNITED STATES;UNITED STATES;CO-68;CO;US;57,676;371970,33
2012;COLOMBIA;GREEN;CESAR;CARTAGENA DE INDIAS;SKN CARIBECAFE LTD;SKN CARIBECAFE LTD;TALOCA AG;TALOCA AG;FRANCE;EUROPEAN UNION;CO-20;CO;FR;71,72082863;390540,6098
2012;COLOMBIA;GREEN;NARINO;BUENAVENTURA;CARCAFE LTD;CARCAFE LTD;VOLCAFE LTD JAPAN;VOLCAFE;JAPAN;JAPAN;CO-52;CO;JP;72,446125;353015,0993
2012;COLOMBIA;ROASTED;CAUCA;BUENAVENTURA;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;UNKNOWN;UNKNOWN;SOUTH KOREA;SOUTH KOREA;CO-19;CO;KR;2,873244708;84594,68076
2012;COLOMBIA;GREEN;NARINO;CARTAGENA DE INDIAS;EMPRESAS DE NARINO S A S;EMPRESAS DE NARINO S A S;TCHIBO GMBH;TCHIBO GMBH;GERMANY;EUROPEAN UNION;CO-52;CO;DE;86,634;406822,54
2012;COLOMBIA;ROASTED;SANTANDER;CARTAGENA DE INDIAS;INDS ALIADAS S A S;INDS ALIADAS S A S;MITSUBISHI CORPORATION DO BRASIL;MITSUBISHI;UNITED STATES;UNITED STATES;CO-68;CO;US;820,95;15349318,87
2012;COLOMBIA;GREEN;RISARALDA;BUENAVENTURA;ALEXCAFE S A S;ALEXCAFE S A S;UNKNOWN;UNKNOWN;CANADA;CANADA;CO-66;CO;CA;58,406;320711,11
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;S LAUMAYER Y CIA EXPORTADORES DE CAFE S A;S LAUMAYER Y CIA EXPORTADORES DE CAFE S A;AMERICAN COFFEE;AMERICAN COFFEE;CANADA;CANADA;CO-05;CO;CA;76,965;353733,69
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;SKN CARIBECAFE LTD;SKN CARIBECAFE LTD;INTER AMERICAN COFFEE INC;INTER AMERICAN COFFEE INC;GERMANY;EUROPEAN UNION;CO-05;CO;DE;24,72548742;114470,546
2012;COLOMBIA;GREEN;NARINO;BUENAVENTURA;CARCAFE LTD;CARCAFE LTD;NEWBEAN CO LTD;NEWBEAN CO LTD;SOUTH KOREA;SOUTH KOREA;CO-52;CO;KR;7,459040978;28917,5634
2012;COLOMBIA;GREEN;HUILA;CARTAGENA DE INDIAS;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;UNKNOWN;UNKNOWN;SWEDEN;EUROPEAN UNION;CO-41;CO;SE;566,458;2644081,08
2012;COLOMBIA;GREEN;CESAR;CARTAGENA DE INDIAS;SKN CARIBECAFE LTD;SKN CARIBECAFE LTD;MEINL BANK AG;MEINL BANK AG;ITALY;EUROPEAN UNION;CO-20;CO;IT;12,51479073;46351,20887
2012;COLOMBIA;GREEN;RISARALDA;CARTAGENA DE INDIAS;ALEXCAFE S A S;ALEXCAFE S A S;STC NJ;STC NJ;CANADA;CANADA;CO-66;CO;CA;19,24;71174,26
2012;COLOMBIA;GREEN;RISARALDA;CARTAGENA DE INDIAS;COMPANIA COLOMBIANA AGROINDUSTRIAL S A;COMPANIA COLOMBIANA AGROINDUSTRIAL S A;BERNHARD ROTHFOS CORP;BERNHARD ROTHFOS CORP;GERMANY;EUROPEAN UNION;CO-66;CO;DE;41,954;216893,24
2012;COLOMBIA;GREEN;TOLIMA;CARTAGENA DE INDIAS;CI VIRMAX COLOMBIA S A S;CI VIRMAX COLOMBIA S A S;THIRTY SECOND BEAN COMPANY PTY;THIRTY SECOND BEAN COMPANY PTY;AUSTRALIA;AUSTRALIA;CO-73;CO;AU;19,245;141956,95
2012;COLOMBIA;GREEN;RISARALDA;CARTAGENA DE INDIAS;COMPANIA COLOMBIANA AGROINDUSTRIAL S A;COMPANIA COLOMBIANA AGROINDUSTRIAL S A;BERGMAN & BERGSTRAND AB;BERGMAN & BERGSTRAND AB;SWEDEN;EUROPEAN UNION;CO-66;CO;SE;124,932;562581,28
2012;COLOMBIA;GREEN;CALDAS;CARTAGENA DE INDIAS;CIA CAFETERA LA MESETA S A;CIA CAFETERA LA MESETA S A;INTERCOM SPA;INTERCOM SPA;ISRAEL;ISRAEL;CO-17;CO;IL;288,421;1502235,38
2012;COLOMBIA;GREEN;QUINDIO;CARTAGENA DE INDIAS;OUTSPAN COLOMBIA S A S C I;OUTSPAN COLOMBIA S A S C I;LAMCO S R L;LAMCO S R L;ITALY;EUROPEAN UNION;CO-63;CO;IT;4,717741684;22361,57712
2012;COLOMBIA;ROASTED;TOLIMA;SANTAFE DE BOGOTA;PROMOTORA CHILENA DE CAFE COLOMBIA SA;PROMOTORA CHILENA DE CAFE COLOMBIA SA;PROMOTORA CHILENA DE CAFE COLOMBIA SA;PROMOTORA CHILENA DE CAFE COLOMBIA SA;ZONA FRANCA BOGOTA;ZONA FRANCA BOGOTA;CO-73;CO;;0,240825;4512,36
2012;COLOMBIA;GREEN;HUILA;SANTAFE DE BOGOTA;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;S ISHIMITSU AND CO LTD;S ISHIMITSU AND CO LTD;JAPAN;JAPAN;CO-41;CO;JP;0,281;1796,08
2012;COLOMBIA;GREEN;NARINO;BUENAVENTURA;CARCAFE LTD;CARCAFE LTD;STARBUCKS COFFEE;STARBUCKS COFFEE;UNITED STATES;UNITED STATES;CO-52;CO;US;751,6161104;4003094,229
2012;COLOMBIA;PROCESSED;CAUCA;SANTIAGO DE CALI;PROMOTORA CHILENA DE CAFE COLOMBIA SA;PROMOTORA CHILENA DE CAFE COLOMBIA SA;INVERSIONES ALASKA S A;INVERSIONES ALASKA S A;ZFP CENTRO LOGISTICO DEL PACIFICO CELPA;ZFP CENTRO LOGISTICO DEL PACIFICO CELPA;CO-19;CO;;0,584;8864,84
2012;COLOMBIA;GREEN;CALDAS;CARTAGENA DE INDIAS;CIA CAFETERA LA MESETA S A;CIA CAFETERA LA MESETA S A;SHAREK AZHAR ALAQSA;SHAREK AZHAR ALAQSA;ISRAEL;ISRAEL;CO-17;CO;IL;19,229;79485,48
2012;COLOMBIA;GREEN;HUILA;BUENAVENTURA;SKN CARIBECAFE LTD;SKN CARIBECAFE LTD;BERNHARD ROTHFOS CORP;BERNHARD ROTHFOS CORP;GERMANY;EUROPEAN UNION;CO-41;CO;DE;579,109;2395718,92
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;INDUSTRIA COLOMBIANA DE CAFE S A S;INDUSTRIA COLOMBIANA DE CAFE S A S;LOUIS DREYFUS COMMODITIES PERU S R L;LOUIS DREYFUS;PERU;PERU;CO-05;CO;PE;56,925;149947,88
2012;COLOMBIA;GREEN;RISARALDA;BUENAVENTURA;ALEXCAFE S A S;ALEXCAFE S A S;SERENGETI TRADING CO;SERENGETI TRADING CO;UNITED STATES;UNITED STATES;CO-66;CO;US;115,486;416991,49
2012;COLOMBIA;ROASTED;CAUCA;SANTIAGO DE CALI;PROMOTORA CHILENA DE CAFE COLOMBIA SA;PROMOTORA CHILENA DE CAFE COLOMBIA SA;IND BOND BERNARDO ALVAREZ Y CIA LTD;IND BOND BERNARDO ALVAREZ Y CIA LTD;ZONA FRANCA PALMASECA - CALI;ZONA FRANCA PALMASECA - CALI;CO-19;CO;;0,00785;117,12
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;SKN CARIBECAFE LTD;SKN CARIBECAFE LTD;MEINL BANK AG;MEINL BANK AG;ITALY;EUROPEAN UNION;CO-05;CO;IT;9,379209273;34737,91113
2012;COLOMBIA;GREEN;RISARALDA;CARTAGENA DE INDIAS;ARMAJARO AGRI-COMMODITIES DO BRASIL;ARMAJARO AGRI-COMMODITIES DO BRASIL;BNP PARIBAS SUISSE SA;BNP PARIBAS SUISSE SA;UNITED KINGDOM;EUROPEAN UNION;CO-66;CO;GB;76,84;321178,11
2012;COLOMBIA;ROASTED;CALDAS;CARTAGENA DE INDIAS;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;UNKNOWN;UNKNOWN;BELGIUM;EUROPEAN UNION;CO-17;CO;BE;414,11875;5206269,1
2012;COLOMBIA;ROASTED;ANTIOQUIA;CARTAGENA DE INDIAS;INDUSTRIA COLOMBIANA DE CAFE S A S;INDUSTRIA COLOMBIANA DE CAFE S A S;CHASE WHOLESALE;CHASE WHOLESALE;ANTIGUA AND BARBUDA;ANTIGUA AND BARBUDA;CO-05;CO;AG;1,8257875;13397,77
2012;COLOMBIA;GREEN;MAGDALENA;SANTA MARTA;ECO BIO COLOMBIA LTDA;ECO BIO COLOMBIA LTDA;MITSUBISHI CORPORATION DO BRASIL;MITSUBISHI;JAPAN;JAPAN;CO-47;CO;JP;24,489;160058,73
2012;COLOMBIA;ROASTED;ANTIOQUIA;MEDELLIN;INDUSTRIA COLOMBIANA DE CAFE S A S;INDUSTRIA COLOMBIANA DE CAFE S A S;LMZ SOLUBLE COFFEE INC;LMZ SOLUBLE COFFEE INC;JAPAN;JAPAN;CO-05;CO;JP;71,115;2416638,84
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;OUTSPAN COLOMBIA S A S C I;OUTSPAN COLOMBIA S A S C I;UNKNOWN;UNKNOWN;ITALY;EUROPEAN UNION;CO-05;CO;IT;1078,717045;5633467,42
2012;COLOMBIA;GREEN;MAGDALENA;CARTAGENA DE INDIAS;CAFE COLSUAVES S A S;CAFE COLSUAVES S A S;ICONA CAFE;ICONA CAFE;BELGIUM;EUROPEAN UNION;CO-47;CO;BE;7;38261
2012;COLOMBIA;GREEN;TOLIMA;BUENAVENTURA;LOUIS DREYFUS COMMODITIES COLOMBIA S A S;LOUIS DREYFUS;UNKNOWN;UNKNOWN;UNITED KINGDOM;EUROPEAN UNION;CO-73;CO;GB;19,966;88386,63
