Year;Country of production;Coffee bean;Department;Municipality of export;Exporter;Exporter group;Importer;Importer group;Country of destination;Economic bloc;Department trase id;Country of production (Trase ID);Country of destination (Trase ID);Trade volume;Trade value
2012;COLOMBIA;GREEN;ANTIOQUIA;CARTAGENA DE INDIAS;INDUSTRIA COLOMBIANA DE CAFE S A S;INDUSTRIA COLOMBIANA DE CAFE S A S;PERALES HUANCARUNA SAC - PERHUSA;PERALES HUANCARUNA SAC - PERHUSA;PERU;PERU;CO-05;CO;PE;189,75;565170,37
2012;COLOMBIA;GREEN;HUILA;CARTAGENA DE INDIAS;CIA NACIONAL DEL CAFE S A S;CIA NACIONAL DEL CAFE S A S;UNKNOWN;UNKNOWN;BELGIUM;EUROPEAN UNION;CO-41;CO;BE;17,08409953;67581,59638
2012;COLOMBIA;GREEN;HUILA;CARTAGENA DE INDIAS;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;RAFAEL ESPINOSA HERMANOS  CIA S C A SUCESORES PUD;MITSUI FOODS INC;MITSUI FOODS INC;UNITED STATES;UNITED STATES;CO-41;CO;US;19,171;93403,85
2012;COLOMBIA;GREEN;SANTANDER;CARTAGENA DE INDIAS;ASOCIACION DE CABILDOS INDIGENAS JUAN TAMA DE INZA;ASOCIACION DE CABILDOS INDIGENAS JUAN TAMA DE INZA;CAFE IMPORTS AUSTRALIA PTW LTD;CAFE IMPORTS AUSTRALIA PTW LTD;UNITED STATES;UNITED STATES;CO-68;CO;US;75,936;473689
2012;COLOMBIA;GREEN;RISARALDA;CARTAGENA DE INDIAS;TERESITA EXPORTADORES DE CAFE S A;TERESITA EXPORTADORES DE CAFE S A;TOSTADORES REUNIDOS S A;TOSTADORES REUNIDOS S A;SPAIN;EUROPEAN UNION;CO-66;CO;ES;96,199;405265,47
2012;COLOMBIA;GREEN;TOLIMA;CARTAGENA DE INDIAS;CARCAFE LTD;CARCAFE LTD;KRAFT FOODS EUROPE PROCUREMENTS GMBH SCHWEIZ SVENSK FILIAL;KRAFT FOODS EUROPE PROCUREMENTS GMBH SCHWEIZ SVENSK FILIAL;SWEDEN;EUROPEAN UNION;CO-73;CO;SE;20,995;81232,65
2012;COLOMBIA;GREEN;VALLE DEL CAUCA;BUENAVENTURA;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA;UNKNOWN;UNKNOWN;CHINA (MAINLAND);CHINA (MAINLAND);CO-76;CO;CN;284,60972;1488583,254
2012;COLOMBIA;GREEN;TOLIMA;CARTAGENA DE INDIAS;CARCAFE LTD;CARCAFE LTD;MAX GLOBAL INC;MAX GLOBAL INC;SOUTH KOREA;SOUTH KOREA;CO-73;CO;KR;10,496;66216,27
2012;COLOMBIA;GREEN;QUINDIO;BUENAVENTURA;S LAUMAYER Y CIA EXPORTADORES DE CAFE S A;S LAUMAYER Y CIA EXPORTADORES DE CAFE S A;UNKNOWN;UNKNOWN;AUSTRALIA;AUSTRALIA;CO-63;CO;AU;59,127;222457,11
2012;COLOMBIA;GREEN;TOLIMA;SANTAFE DE BOGOTA;EMPRESAS DE NARINO S A S;EMPRESAS DE NARINO S A S;SROG BRAND DESIGN LLC;SROG BRAND DESIGN LLC;UNITED STATES;UNITED STATES;CO-73;CO;US;1,32;8175,89
